Wall time,Step,Value
1421864285.400311,0,129907016.0
1421864332.197251,1,90062984.0
1421864377.140306,2,59501380.0
1421864422.564074,3,49577604.0
1421864465.4569879,4,37944744.0
1421864508.433482,5,28030674.0
1421864551.647687,6,21431114.0
1421864595.437242,7,17978666.0
1421864639.265847,8,16001976.0
1421864682.8588622,9,14554567.0
1421864727.027092,10,13195368.0
1421864770.8252149,11,11884225.0
1421864815.018411,12,10568560.0
1421864858.924563,13,9470933.0
1421864903.181661,14,8587025.0
1421864947.5216472,15,7824281.0
1421864990.7232692,16,7166250.5
1421865033.9057121,17,6579341.5
1421865077.0260181,18,6072481.0
1421865120.066305,19,5585712.0
1421865169.19962,20,5122649.5
1421865214.0374131,21,4709641.0
1421865258.83861,22,4340914.0
1421865303.963145,23,3994977.75
1421865348.9528599,24,3672605.5
1421865393.810125,25,3385352.75
1421865438.747118,26,3130911.25
1421865483.689801,27,2899063.5
1421865528.723695,28,2677922.0
1421865573.863806,29,2489961.0
1421865619.1305459,30,2327845.25
1421865663.7680871,31,2176182.0
1421865709.009439,32,2032346.875
1421865753.804013,33,1912107.75
1421865797.247398,34,1814041.25
1421865840.6654239,35,1719696.5
1421865884.650344,36,1630086.125
1421865927.986461,37,1547984.625
1421865974.3389592,38,1472415.875
1421866021.9263282,39,1398846.5
1421866066.625636,40,1336984.625
1421866111.655991,41,1281439.0
1421866157.2557812,42,1225354.875
1421866202.292317,43,1175518.0
1421866247.747713,44,1133656.375
1421866292.3487492,45,1088901.375
1421866336.954995,46,1045343.375
1421866381.568906,47,1010848.75
1421866426.134924,48,977128.625
1421866471.045599,49,943425.4375
1421866515.540617,50,914461.125
1421866560.383544,51,884939.6875
1421866607.1957388,52,857110.625
1421866652.1614342,53,833278.5625
1421866696.82364,54,808517.0
1421866741.5652502,55,786415.5
1421866786.034862,56,767785.75
1421866831.045486,57,747043.4375
1421866876.304401,58,729464.1875
1421866922.232159,59,713086.125
1421866969.246229,60,693978.3125
1421867013.934813,61,678763.3125
1421867058.7303512,62,664564.6875
1421867103.3577962,63,650259.625
1421867148.041709,64,637557.875
1421867192.632864,65,624044.1875
1421867237.3774989,66,613068.25
1421867282.3648908,67,601409.0
1421867326.901737,68,590307.0
1421867371.641064,69,581020.625
1421867416.067296,70,569906.125
1421867460.761494,71,561476.375
1421867505.104387,72,552535.125
1421867550.2122838,73,544800.9375
1421867593.756258,74,535430.1875
1421867637.305331,75,527632.875
1421867680.6504588,76,520051.4375
1421867723.863425,77,512557.375
1421867767.311394,78,506227.9375
1421867810.671037,79,499451.28125
1421867854.0209951,80,493475.78125
1421867897.453923,81,486376.0625
1421867941.1332512,82,482443.4375
1421867984.496234,83,474998.03125
1421868028.044215,84,474445.4375
1421868071.348649,85,464787.46875
1421868114.765594,86,477073.96875
1421868157.858037,87,472918.21875
1421868201.11823,88,569642.125
1421868244.5044339,89,667121.125
1421868287.7407281,90,1118742.625
1421868331.0537841,91,909272.5625
1421868374.2944698,92,635551.5625
1421868417.768919,93,501812.8125
1421868461.1071901,94,688407.875
1421868504.5923898,95,583442.875
1421868548.021614,96,509487.1875
1421868591.402179,97,598146.4375
1421868634.724731,98,469846.8125
1421868678.020624,99,551903.4375
1421868721.406992,100,485201.75
1421868765.441219,101,433657.9375
1421868809.24992,102,534218.4375
1421868852.6205812,103,418996.90625
1421868896.163043,104,458514.65625
1421868939.705091,105,466495.125
1421868983.336617,106,423753.28125
1421869026.774654,107,451632.125
1421869070.2064111,108,410245.75
1421869113.743697,109,437366.6875
1421869156.971034,110,417624.0625
1421869200.465495,111,390430.28125
1421869243.8132281,112,431768.34375
1421869286.974884,113,389879.8125
1421869330.6166542,114,388546.125
1421869374.0592341,115,415670.59375
1421869417.591584,116,378591.9375
1421869461.1524081,117,384710.125
1421869505.724757,118,399123.4375
1421869549.376826,119,372403.71875
1421869592.969643,120,377972.84375
1421869636.911888,121,385073.0
1421869680.264879,122,368368.53125
1421869723.841152,123,372020.28125
1421869767.42023,124,371662.9375
1421869810.8242939,125,366344.53125
1421869854.160724,126,365197.96875
1421869897.668504,127,359593.40625
1421869941.312382,128,366416.875
1421869984.8758159,129,356578.125
1421870028.5483751,130,350551.125
1421870072.233797,131,362553.0625
1421870115.679063,132,350167.75
1421870159.186753,133,350307.75
1421870202.759234,134,348816.71875
1421870246.4200268,135,347016.84375
1421870289.9848819,136,348551.09375
1421870333.416553,137,343215.21875
1421870376.884015,138,341644.84375
1421870420.537608,139,343024.40625
1421870463.956815,140,337964.96875
1421870507.432547,141,342260.46875
1421870550.9329422,142,335597.78125
1421870594.527235,143,335782.71875
1421870638.000489,144,334739.9375
1421870681.836682,145,337684.15625
1421870725.274615,146,335294.3125
1421870768.871032,147,362608.3125
1421870812.194591,148,389600.71875
1421870856.147993,149,646059.75
1421870899.7711601,150,942853.375
1421870943.1699798,151,1804575.375
1421870986.589231,152,643653.3125
