Wall time,Step,Value
1421864285.400311,0,22101.607421875
1421864332.197251,1,49424.40234375
1421864377.140306,2,87402.0625
1421864422.564074,3,123133.375
1421864465.4569879,4,146592.328125
1421864508.433482,5,165292.578125
1421864551.647687,6,183804.65625
1421864595.437242,7,203040.015625
1421864639.265847,8,222617.921875
1421864682.8588622,9,241769.140625
1421864727.027092,10,259283.0
1421864770.8252149,11,274034.875
1421864815.018411,12,285553.625
1421864858.924563,13,294261.96875
1421864903.181661,14,300846.15625
1421864947.5216472,15,305763.5625
1421864990.7232692,16,309211.90625
1421865033.9057121,17,311358.1875
1421865077.0260181,18,312443.0625
1421865120.066305,19,312598.5
1421865169.19962,20,311818.0625
1421865214.0374131,21,310158.78125
1421865258.83861,22,307860.375
1421865303.963145,23,305180.03125
1421865348.9528599,24,302155.53125
1421865393.810125,25,298666.0
1421865438.747118,26,294757.90625
1421865483.689801,27,290721.65625
1421865528.723695,28,286803.1875
1421865573.863806,29,283046.15625
1421865619.1305459,30,279477.09375
1421865663.7680871,31,276194.78125
1421865709.009439,32,273176.46875
1421865753.804013,33,270253.34375
1421865797.247398,34,267385.5625
1421865840.6654239,35,264711.0
1421865884.650344,36,262278.375
1421865927.986461,37,259999.21875
1421865974.3389592,38,257835.15625
1421866021.9263282,39,255772.75
1421866066.625636,40,253790.03125
1421866111.655991,41,251972.609375
1421866157.2557812,42,250383.296875
1421866202.292317,43,248901.65625
1421866247.747713,44,247466.546875
1421866292.3487492,45,246162.9375
1421866336.954995,46,244931.25
1421866381.568906,47,243659.5
1421866426.134924,48,242417.328125
1421866471.045599,49,241250.703125
1421866515.540617,50,240138.546875
1421866560.383544,51,239119.171875
1421866607.1957388,52,238137.6875
1421866652.1614342,53,237125.921875
1421866696.82364,54,236127.421875
1421866741.5652502,55,235106.296875
1421866786.034862,56,234044.828125
1421866831.045486,57,233009.90625
1421866876.304401,58,231975.09375
1421866922.232159,59,230968.453125
1421866969.246229,60,230008.90625
1421867013.934813,61,229002.34375
1421867058.7303512,62,227975.703125
1421867103.3577962,63,226951.921875
1421867148.041709,64,225926.65625
1421867192.632864,65,224944.21875
1421867237.3774989,66,223958.8125
1421867282.3648908,67,222987.6875
1421867326.901737,68,222003.953125
1421867371.641064,69,221002.375
1421867416.067296,70,220040.796875
1421867460.761494,71,219067.359375
1421867505.104387,72,218117.71875
1421867550.2122838,73,217172.78125
1421867593.756258,74,216274.875
1421867637.305331,75,215376.125
1421867680.6504588,76,214472.84375
1421867723.863425,77,213567.21875
1421867767.311394,78,212662.40625
1421867810.671037,79,211789.984375
1421867854.0209951,80,210936.28125
1421867897.453923,81,210118.484375
1421867941.1332512,82,209262.15625
1421867984.496234,83,208446.90625
1421868028.044215,84,207559.375
1421868071.348649,85,206818.5625
1421868114.765594,86,205863.8125
1421868157.858037,87,205316.265625
1421868201.11823,88,204088.59375
1421868244.5044339,89,204102.046875
1421868287.7407281,90,202172.3125
1421868331.0537841,91,203047.90625
1421868374.2944698,92,201425.65625
1421868417.768919,93,201334.96875
1421868461.1071901,94,201772.953125
1421868504.5923898,95,200120.203125
1421868548.021614,96,199809.359375
1421868591.402179,97,200180.109375
1421868634.724731,98,198795.40625
1421868678.020624,99,198085.0625
1421868721.406992,100,198333.34375
1421868765.441219,101,197334.15625
1421868809.24992,102,196099.1875
1421868852.6205812,103,195948.125
1421868896.163043,104,195447.25
1421868939.705091,105,194081.671875
1421868983.336617,106,193501.265625
1421869026.774654,107,193241.484375
1421869070.2064111,108,192075.921875
1421869113.743697,109,191211.421875
1421869156.971034,110,190926.5625
1421869200.465495,111,190020.9375
1421869243.8132281,112,189095.796875
